ion	r_sq.data_pollen.	log2FC_PE1X_H20
350	0.724634183	3.02354644
351	0.972490833	4.823181432
352	0.884876536	2.35607349
353	0.935724458	3.036437066
354	0.836501911	2.473608407
355	0.93721453	3.295927014
356	0.205023451	0.302622637
357	0.975037962	5.460730315
358	0.694027293	1.674676772
359	0.37491121	0.421826923
360	0.914160921	2.182185064
361	0.958791282	5.374411444
362	0.374669191	1.009399329
363	0.23073935	-0.364802524
364	0.922392738	3.099630365
365	0.896190211	2.767153252
366	0.583031681	1.345342503
367	0.966583128	4.496460352
368	0.951999818	2.823033295
369	-0.01963336	-0.266196691
370	0.02379171	0.259296618
371	0.764424157	2.296226777
372	0.686081587	1.126389305
373	0.831052048	2.705844636
374	0.865787292	3.026518427
375	0.917080767	3.825410549
376	0.9123339	3.516331494
377	0.979945099	6.046432503
378	0.637165255	0.956005658
379	0.916645625	5.442731139
380	0.920078749	2.424094299
381	0.785268934	2.298350075
382	0.330031019	-0.374831186
383	0.70848011	1.425366943
384	0.716338957	1.778249443
385	0.714844262	-0.426336713
386	0.893985602	3.818233888
387	0.573565115	1.139021811
388	0.463091892	-0.153949684
389	0.896257572	5.022526249
390	0.908510547	3.747838678
391	0.315311981	1.41129209
392	0.924032197	2.724408934
393	0.778582779	3.233178478
394	0.924298508	2.478069203
395	0.88288676	2.825949338
396	0.972569117	6.900759357
397	0.96131808	4.707448471
398	0.96249951	4.649017255
399	0.267824284	-0.40215312
400	0.42218623	2.876368717
401	0.917557481	3.517846708
402	0.919031752	2.994202578
403	0.932718535	4.261328548
404	0.96589039	4.009393512
405	0.791264543	0.976025083
406	0.797899095	0.818146509
407	0.946290929	3.399580363
408	0.967457976	6.046635528
409	0.982038674	4.992272486
410	0.954592423	3.534659308
411	0.100905475	-0.082524983
412	0.949587371	4.252601946
413	0.728613649	2.254304399
414	0.78354338	3.017754908
415	0.85069809	3.556388419
416	0.592807857	1.394510559
417	0.943365574	4.330604735
418	0.805759465	3.350221051
419	0.926351203	2.91518645
420	0.855554561	4.056890889
421	0.957100767	5.81823516
422	0.957265595	4.891578746
423	0.865713253	2.309429492
424	0.608819331	1.38257963
425	0.981387585	6.762854121
426	0.981899844	7.189708595
427	0.978751526	6.057937244
428	0.093076026	-0.092042287
429	0.483795954	1.914294777
430	-0.010806386	0.405096541
431	0.927746753	5.160416366
432	0.943381703	2.095262465
433	0.929930635	3.707191082
434	0.954258431	3.36773407
435	0.323047748	-0.360083825
436	0.661766615	2.276116791
437	0.944456561	5.213393057
438	0.947772835	3.982489332
439	0.899090249	2.1889066
440	0.947515605	2.674528831
441	0.531662033	-0.453667806
442	0.964168816	5.03207329
443	0.667285388	2.258777996
444	0.76798356	3.590837375
445	0.600131141	0.934279601
446	0.806815282	2.119088414
447	0.891937301	4.16620773
448	0.956733723	2.590160476
449	0.980643079	6.124464661
450	0.9369531	4.462020128
451	0.983523269	5.409941496
452	0.845520572	3.091099387
453	0.302396127	0.39872384
454	0.981174059	6.810355874
455	0.958121653	5.251690576
456	0.968413206	5.47098436
457	0.949534937	4.396392596
458	0.865025735	4.238346649
459	0.964261388	6.490346642
460	0.820000816	3.394321777
461	0.205497808	-0.175097365
462	0.216269592	-0.073013553
463	0.689005465	3.744166638
464	0.290242279	0.728624256
465	0.966703323	4.948831937
466	0.529824491	3.409503535
467	0.945607017	3.266367243
468	0.951862138	3.991964213
469	-0.019434337	0.625932482
470	0.863003186	3.332909861
471	0.837051847	3.913515038
472	-0.002385474	-0.020061978
473	0.853742574	2.834947087
474	0.954714228	3.830512425
475	0.905617274	1.278552481
476	0.965346404	3.870585909
477	0.837504988	2.558519778
478	0.84775586	1.098413944
479	0.929271935	3.224031261
480	0.48057906	1.159486997
481	0.456424712	0.262994242
482	0.973162899	4.947497766
483	0.972087708	4.448451872
484	0.973265083	4.533113139
485	0.88028395	2.33393518
486	0.839883678	1.054104366
487	0.979221817	3.501803962
488	0.962959164	3.379447193
489	0.82682919	3.037136542
490	0.356004106	1.202167682
491	0.944799696	4.099200393
492	0.883266213	5.75646196
493	0.950508237	5.396953471
494	0.767212176	2.086507541
495	0.766881875	2.195523102
496	0.962242696	3.551476664
497	0.966229985	3.67069376
498	0.785773233	5.017041859
499	0.962021489	3.302303363
500	0.925890594	3.984365564
501	0.904675037	4.07745225
502	0.639096569	2.802908753
503	0.920116558	5.253600451
504	0.979248033	6.951527778
505	0.94905764	5.082225353
506	0.970458603	4.232145617
507	0.955199214	3.148149705
508	0.932053988	3.496706382
509	0.874646566	3.222486159
510	0.958166021	4.547867389
511	0.971156108	5.302549237
512	0.8156656	2.63346441
513	0.971678752	5.03115629
514	0.873412059	2.058755864
515	0.973400194	5.066576448
516	0.907360432	2.60442093
517	0.576145857	1.524897094
