ionIdx	ionMz		001 / F5_185_PE_T16_1_F5_185_PE	002 / F5_185_PE_T16_1_F5_185_PE	003 / F5_262_PE_T0_1_F5_262_PE	004 / F5_262_PE_T0_1_F5_262_PE	005 / Neg_PE_T0_3_no_PE	006 / Neg_PE_T0_3_no_PE	007 / F5_351_PE_T0_3_F5_351_PE	008 / F5_351_PE_T0_3_F5_351_PE	009 / F5_186_PE_T16_5_F5_186_PE	010 / F5_186_PE_T16_5_F5_186_PE	011 / F5_186_PE_T16_3_F5_186_PE	012 / F5_186_PE_T16_3_F5_186_PE	013 / F5_259_PE_T16_1_F5_259_PE	014 / F5_259_PE_T16_1_F5_259_PE	015 / F5_261_PE_T0_3_F5_261_PE	016 / F5_261_PE_T0_3_F5_261_PE	017 / F5_352_PE_T0_2_F5_352_PE	018 / F5_352_PE_T0_2_F5_352_PE	019 / F5_353_PE_T0_3_F5_353_PE	020 / F5_353_PE_T0_3_F5_353_PE	021 / F5_186_PE_T0_5_F5_186_PE	022 / F5_186_PE_T0_5_F5_186_PE	023 / F5_260_PE_T0_3_F5_260_PE	024 / F5_260_PE_T0_3_F5_260_PE	025 / F5_353_PE_T0_1_F5_353_PE	026 / F5_353_PE_T0_1_F5_353_PE	027 / F5_185_PE_T16_3_F5_185_PE	028 / F5_185_PE_T16_3_F5_185_PE	029 / F5_184_PE_T0_5_F5_184_PE	030 / F5_184_PE_T0_5_F5_184_PE	031 / F5_184_PE_T16_3_F5_184_PE	032 / F5_184_PE_T16_3_F5_184_PE	033 / F5_186_PE_T0_1_F5_186_PE	034 / F5_186_PE_T0_1_F5_186_PE	035 / F5_184_PE_T0_3_F5_184_PE	036 / F5_184_PE_T0_3_F5_184_PE	037 / Neg_PE_T0_2_no_PE	038 / Neg_PE_T0_2_no_PE	039 / F5_183_PE_T0_3_F5_183_PE	040 / F5_183_PE_T0_3_F5_183_PE	041 / F5_260_PE_T0_2_F5_260_PE	042 / F5_260_PE_T0_2_F5_260_PE	043 / F5_184_PE_T0_4_F5_184_PE	044 / F5_184_PE_T0_4_F5_184_PE	045 / F5_185_PE_T0_1_F5_185_PE	046 / F5_185_PE_T0_1_F5_185_PE	047 / F5_184_PE_T0_1_F5_184_PE	048 / F5_184_PE_T0_1_F5_184_PE	049 / F5_350_PE_T0_1_F5_350_PE	050 / F5_350_PE_T0_1_F5_350_PE	051 / F5_263_PE_T0_1_F5_263_PE	052 / F5_263_PE_T0_1_F5_263_PE	053 / F5_184_PE_T16_4_F5_184_PE	054 / F5_184_PE_T16_4_F5_184_PE	055 / F5_259_PE_T0_1_F5_259_PE	056 / F5_259_PE_T0_1_F5_259_PE	057 / F5_352_PE_T0_3_F5_352_PE	058 / F5_352_PE_T0_3_F5_352_PE	059 / F5_259_PE_T0_4_F5_259_PE	060 / F5_259_PE_T0_4_F5_259_PE	061 / F5_261_PE_T0_4_F5_261_PE	062 / F5_261_PE_T0_4_F5_261_PE	063 / F5_260_PE_T0_4_F5_260_PE	064 / F5_260_PE_T0_4_F5_260_PE	065 / F5_183_PE_T0_4_F5_183_PE	066 / F5_183_PE_T0_4_F5_183_PE	067 / F5_185_PE_T0_3_F5_185_PE	068 / F5_185_PE_T0_3_F5_185_PE	069 / F5_260_PE_T0_5_F5_260_PE	070 / F5_260_PE_T0_5_F5_260_PE	071 / F5_354_PE_T0_5_F5_354_PE	072 / F5_354_PE_T0_5_F5_354_PE	073 / F5_352_PE_T0_4_F5_352_PE	074 / F5_352_PE_T0_4_F5_352_PE	075 / F5_351_PE_T0_1_F5_351_PE	076 / F5_351_PE_T0_1_F5_351_PE	077 / F5_350_PE_T0_5_F5_350_PE	078 / F5_350_PE_T0_5_F5_350_PE	079 / F5_259_PE_T0_2_F5_259_PE	080 / F5_259_PE_T0_2_F5_259_PE	081 / F5_261_PE_T0_1_F5_261_PE	082 / F5_261_PE_T0_1_F5_261_PE	083 / F5_185_PE_T0_5_F5_185_PE	084 / F5_185_PE_T0_5_F5_185_PE	085 / F5_185_PE_T0_2_F5_185_PE	086 / F5_185_PE_T0_2_F5_185_PE	087 / F5_186_PE_T0_4_F5_186_PE	088 / F5_186_PE_T0_4_F5_186_PE	089 / F5_263_PE_T0_2_F5_263_PE	090 / F5_263_PE_T0_2_F5_263_PE	091 / F5_183_PE_T0_5_F5_183_PE	092 / F5_183_PE_T0_5_F5_183_PE	093 / F5_186_PE_T16_2_F5_186_PE	094 / F5_186_PE_T16_2_F5_186_PE	095 / F5_183_PE_T16_1_F5_183_PE	096 / F5_183_PE_T16_1_F5_183_PE	097 / F5_262_PE_T0_4_F5_262_PE	098 / F5_262_PE_T0_4_F5_262_PE	099 / F5_350_PE_T0_2_F5_350_PE	100 / F5_350_PE_T0_2_F5_350_PE	101 / F5_185_PE_T16_2_F5_185_PE	102 / F5_185_PE_T16_2_F5_185_PE	103 / F5_353_PE_T0_5_F5_353_PE	104 / F5_353_PE_T0_5_F5_353_PE	105 / Neg_PE_T0_5_no_PE	106 / Neg_PE_T0_5_no_PE	107 / F5_186_PE_T16_1_F5_186_PE	108 / F5_186_PE_T16_1_F5_186_PE	109 / F5_261_PE_T0_2_F5_261_PE	110 / F5_261_PE_T0_2_F5_261_PE	111 / F5_263_PE_T0_5_F5_263_PE	112 / F5_263_PE_T0_5_F5_263_PE	113 / F5_263_PE_T0_4_F5_263_PE	114 / F5_263_PE_T0_4_F5_263_PE	115 / F5_184_PE_T16_2_F5_184_PE	116 / F5_184_PE_T16_2_F5_184_PE	117 / F5_262_PE_T0_5_F5_262_PE	118 / F5_262_PE_T0_5_F5_262_PE	119 / F5_183_PE_T0_2_F5_183_PE	120 / F5_183_PE_T0_2_F5_183_PE	121 / F5_259_PE_T0_3_F5_259_PE	122 / F5_259_PE_T0_3_F5_259_PE	123 / F5_259_PE_T0_5_F5_259_PE	124 / F5_259_PE_T0_5_F5_259_PE	125 / F5_183_PE_T16_3_F5_183_PE	126 / F5_183_PE_T16_3_F5_183_PE	127 / F5_183_PE_T16_4_F5_183_PE	128 / F5_183_PE_T16_4_F5_183_PE	129 / F5_183_PE_T0_1_F5_183_PE	130 / F5_183_PE_T0_1_F5_183_PE	131 / F5_350_PE_T0_3_F5_350_PE	132 / F5_350_PE_T0_3_F5_350_PE	133 / F5_353_PE_T0_4_F5_353_PE	134 / F5_353_PE_T0_4_F5_353_PE	135 / F5_350_PE_T0_4_F5_350_PE	136 / F5_350_PE_T0_4_F5_350_PE	137 / F5_352_PE_T0_5_F5_352_PE	138 / F5_352_PE_T0_5_F5_352_PE	139 / F5_186_PE_T16_4_F5_186_PE	140 / F5_186_PE_T16_4_F5_186_PE	141 / Neg_PE_T0_1_no_PE	142 / Neg_PE_T0_1_no_PE	143 / F5_260_PE_T0_1_F5_260_PE	144 / F5_260_PE_T0_1_F5_260_PE	145 / F5_185_PE_T16_5_F5_185_PE	146 / F5_185_PE_T16_5_F5_185_PE	147 / F5_354_PE_T0_2_F5_354_PE	148 / F5_354_PE_T0_2_F5_354_PE	149 / F5_353_PE_T0_2_F5_353_PE	150 / F5_353_PE_T0_2_F5_353_PE	151 / F5_262_PE_T0_3_F5_262_PE	152 / F5_262_PE_T0_3_F5_262_PE	153 / Neg_PE_T0_4_no_PE	154 / Neg_PE_T0_4_no_PE	155 / F5_354_PE_T0_1_F5_354_PE	156 / F5_354_PE_T0_1_F5_354_PE	157 / F5_352_PE_T0_1_F5_352_PE	158 / F5_352_PE_T0_1_F5_352_PE	159 / F5_261_PE_T0_5_F5_261_PE	160 / F5_261_PE_T0_5_F5_261_PE	161 / F5_184_PE_T16_1_F5_184_PE	162 / F5_184_PE_T16_1_F5_184_PE	163 / F5_184_PE_T0_2_F5_184_PE	164 / F5_184_PE_T0_2_F5_184_PE	165 / F5_183_PE_T16_5_F5_183_PE	166 / F5_183_PE_T16_5_F5_183_PE	167 / F5_351_PE_T0_4_F5_351_PE	168 / F5_351_PE_T0_4_F5_351_PE	169 / F5_184_PE_T16_5_F5_184_PE	170 / F5_184_PE_T16_5_F5_184_PE	171 / F5_354_PE_T0_4_F5_354_PE	172 / F5_354_PE_T0_4_F5_354_PE	173 / F5_354_PE_T0_3_F5_354_PE	174 / F5_354_PE_T0_3_F5_354_PE	175 / F5_183_PE_T16_2_F5_183_PE	176 / F5_183_PE_T16_2_F5_183_PE	177 / F5_186_PE_T0_2_F5_186_PE	178 / F5_186_PE_T0_2_F5_186_PE	179 / F5_351_PE_T0_5_F5_351_PE	180 / F5_351_PE_T0_5_F5_351_PE	181 / F5_185_PE_T0_4_F5_185_PE	182 / F5_185_PE_T0_4_F5_185_PE	183 / F5_262_PE_T0_2_F5_262_PE	184 / F5_262_PE_T0_2_F5_262_PE	185 / F5_263_PE_T0_3_F5_263_PE	186 / F5_263_PE_T0_3_F5_263_PE	187 / F5_185_PE_T16_4_F5_185_PE	188 / F5_185_PE_T16_4_F5_185_PE	189 / F5_186_PE_T0_3_F5_186_PE	190 / F5_186_PE_T0_3_F5_186_PE	191 / F5_351_PE_T0_2_F5_351_PE	192 / F5_351_PE_T0_2_F5_351_PE	193 / F5_350_PE_T16_5_F5_350_PE	194 / F5_350_PE_T16_5_F5_350_PE	195 / cfMRS_3_no_no	196 / cfMRS_3_no_no	197 / F5_352_PE_T16_5_F5_352_PE	198 / F5_352_PE_T16_5_F5_352_PE	199 / F5_263_PE_T16_2_F5_263_PE	200 / F5_263_PE_T16_2_F5_263_PE	201 / F5_262_PE_T16_1_F5_262_PE	202 / F5_262_PE_T16_1_F5_262_PE	203 / F5_259_PE_T16_3_F5_259_PE	204 / F5_259_PE_T16_3_F5_259_PE	205 / F5_351_PE_T16_3_F5_351_PE	206 / F5_351_PE_T16_3_F5_351_PE	207 / Neg_PE_T16_5_no_PE	208 / Neg_PE_T16_5_no_PE	209 / F5_262_PE_T16_2_F5_262_PE	210 / F5_262_PE_T16_2_F5_262_PE	211 / F5_260_PE_T16_2_F5_260_PE	212 / F5_260_PE_T16_2_F5_260_PE	213 / F5_351_PE_T16_2_F5_351_PE	214 / F5_351_PE_T16_2_F5_351_PE	215 / cfMRS_2_no_no	216 / cfMRS_2_no_no	217 / F5_262_PE_T16_3_F5_262_PE	218 / F5_262_PE_T16_3_F5_262_PE	219 / Neg_PE_T16_4_no_PE	220 / Neg_PE_T16_4_no_PE	221 / F5_351_PE_T16_5_F5_351_PE	222 / F5_351_PE_T16_5_F5_351_PE	223 / F5_353_PE_T16_2_F5_353_PE	224 / F5_353_PE_T16_2_F5_353_PE	225 / F5_350_PE_T16_3_F5_350_PE	226 / F5_350_PE_T16_3_F5_350_PE	227 / F5_354_PE_T16_3_F5_354_PE	228 / F5_354_PE_T16_3_F5_354_PE	229 / F5_352_PE_T16_2_F5_352_PE	230 / F5_352_PE_T16_2_F5_352_PE	231 / F5_351_PE_T16_4_F5_351_PE	232 / F5_351_PE_T16_4_F5_351_PE	233 / F5_262_PE_T16_4_F5_262_PE	234 / F5_262_PE_T16_4_F5_262_PE	235 / F5_263_PE_T16_3_F5_263_PE	236 / F5_263_PE_T16_3_F5_263_PE	237 / F5_263_PE_T16_5_F5_263_PE	238 / F5_263_PE_T16_5_F5_263_PE	239 / F5_354_PE_T16_1_F5_354_PE	240 / F5_354_PE_T16_1_F5_354_PE	241 / F5_353_PE_T16_3_F5_353_PE	242 / F5_353_PE_T16_3_F5_353_PE	243 / F5_350_PE_T16_4_F5_350_PE	244 / F5_350_PE_T16_4_F5_350_PE	245 / F5_261_PE_T16_4_F5_261_PE
373	261.1254		151724	156175	164430	162480	195660	205077	169506	168178	146504	154157	161882	165258	133536	136043	173913	185117	165756	173910	160595	151809	177622	174725	152578	150671	179434	180983	144454	144183	163907	166627	177663	174854	162716	158355	160282	164433	180078	180948	172024	181159	160304	160228	177015	177428	178287	179642	174389	170164	171269	171921	176274	184952	178505	181829	165277	169406	172334	175684	157489	152037	166295	171139	173491	170704	180572	178636	178030	178649	174996	170045	156233	148785	166552	171184	172417	171729	152409	161456	162407	161679	163755	166060	196040	192852	169858	183420	170763	175598	170843	173040	177712	180518	152920	152571	152855	145116	159079	162990	164904	181672	142191	140872	158316	154577	227852	217418	162250	157196	194180	194504	149231	160748	179037	186422	195407	191948	153216	157537	182460	183283	160773	156396	181615	183370	163817	156295	164096	159234	165357	162148	163868	166816	157469	159761	169256	176911	165241	161563	148461	148267	240635	235346	164852	177418	158102	161868	159211	164466	156467	150139	171569	164750	193282	202388	156117	154679	178314	182696	171617	173165	179727	175423	172669	180380	146899	147227	170831	171015	187735	178477	143004	140032	152794	151853	156473	154306	167933	171073	165687	171954	183623	185875	158991	167491	166485	177061	164858	163981	164864	161473	170137	170185	174533	174752	298874	290364	140720	144863	135547	136641	157203	154124	132522	138435	148139	149322	223109	224921	132396	140290	138908	138997	146694	139226	298703	295509	156736	154556	237387	232673	143292	147450	158197	149931	159224	174770	150134	153579	135083	138454	137278	135406	158263	149934	139782	142648	150654	152301	159222	158215	164382	155597	165968	161548	136491
374	263.1399		136801	135767	165714	167404	202010	210972	178142	178763	155276	156090	168390	162344	129144	128889	184470	180693	179275	174017	167315	170710	182323	185118	147001	156133	195112	197953	138254	128916	165804	164435	142410	143945	169623	165190	163215	165644	186271	180849	187896	181267	157049	165706	176005	185685	186004	186843	174616	172263	173867	184365	189502	197047	145813	145696	154395	161966	171211	181384	154219	148414	174342	175784	171275	183950	193749	195681	187721	183492	176377	180572	156067	156597	170707	169024	176349	175673	163586	169703	161753	158096	168336	168619	212214	201288	181547	187396	173090	192555	185483	180405	186876	187818	157924	157969	153903	152607	167229	174544	177497	176431	126790	128136	162184	157609	242918	248280	168979	159201	194767	187531	160502	156440	189580	191517	154226	165260	151722	152377	191412	192037	158452	153392	186306	188531	165292	174775	178866	163296	175819	170494	166118	174307	167689	165671	180226	187113	171078	167789	158483	146184	254515	258815	175233	173186	152969	156852	166798	168747	163466	162490	165837	175827	206477	203850	149332	148873	197615	194428	175646	185707	147476	144044	180666	187525	148245	152294	180832	183741	142631	142766	137693	144609	163453	164726	159190	166583	174655	176091	184711	188362	195385	188766	165841	171399	182544	176886	161263	161382	175934	174468	174925	179202	171788	165889	360317	369255	150360	148614	132224	138203	167221	168699	134355	132364	156386	168399	227503	236285	131972	131305	135439	133384	158734	162112	369969	373311	161900	161601	255229	253365	155597	153266	156268	151929	156442	154644	171838	174624	148196	146383	158742	142609	158394	159528	143024	136294	156805	153727	191345	185560	170689	167453	150079	153953	133082
375	264.1437		31324	34353	37426	40350	42301	44309	35606	37327	34203	38193	34693	38362	29755	31820	42377	39856	37248	40093	38752	38698	41011	41093	34193	37488	42914	43424	32695	31370	36990	40177	34488	34908	37382	39037	35159	36113	41005	40780	41717	43428	34468	35050	41677	38421	42815	42821	38301	41770	40329	42888	41989	46237	32805	34506	39567	38717	40339	41124	34985	35434	41122	38653	39745	41245	39286	39851	40462	41880	37739	39791	36529	37555	41542	40883	43593	39121	37373	37025	35196	37671	39765	40197	43672	43571	39546	44773	41116	39385	41676	38984	42513	39531	35206	36124	35434	33651	37017	39032	40406	42357	31999	32101	37339	37897	50684	52114	37412	34843	41580	42831	34479	35146	43246	42456	33689	36527	33156	35927	44563	39748	35947	35096	39822	42110	39056	36389	39216	38655	39061	40729	39786	37944	38291	39238	39590	39714	36055	38836	34989	31905	47285	52747	38044	40942	33577	33986	36890	35563	36892	36890	37345	40566	46382	40220	31793	33364	39803	41049	37039	39891	32789	31980	39023	38526	32060	33303	35869	37084	33799	33012	32640	32555	39256	38308	34485	33051	39322	42491	38352	38465	40557	41608	39579	41863	41057	44593	35456	37406	38818	39269	39510	38902	39915	37940	68657	72466	35635	34259	30187	29248	36043	38132	30378	32065	34131	33691	49609	48814	28920	30983	30057	27936	34290	37752	71341	71624	38284	38025	51387	52467	34906	32143	34457	37059	33168	35360	34760	37755	31049	33810	32596	34493	35328	34633	26841	30831	33924	32634	38074	40744	37221	37416	34046	34028	29357
376	265.0939		43253	40588	57793	60189	64246	63081	58853	61625	41502	37827	41003	38713	40648	41111	61388	65526	62335	63705	60007	57236	65989	62168	56356	63022	66491	66640	38774	38583	58101	58036	40853	42308	62067	59976	61895	57217	60138	63551	62512	66119	61266	60568	66280	59872	63357	60219	60082	60233	57136	61437	62416	63768	40108	39852	58521	57282	60896	63432	58182	61828	55773	64607	60820	62144	59581	63577	62708	61410	61234	57855	57877	59546	62286	60109	60714	63261	58686	55403	56630	61136	63056	57990	63721	64065	62783	56993	56407	58987	59220	58426	63852	59656	37915	36180	39269	39078	54925	60015	59808	58025	37566	36358	55250	56782	59417	65461	38170	35995	58377	57666	59393	62052	62664	61392	38835	40147	55584	57232	61563	64925	57575	59646	57385	60102	37126	38701	38762	39148	57149	62994	59105	58050	60222	59067	56583	58360	57174	57436	35343	35737	66377	67527	60657	57358	38471	39962	57830	58478	57323	56642	58081	59103	60510	62676	55773	58962	59496	62263	59832	62533	36298	38322	61344	61167	39584	37627	56042	60091	38053	39414	53702	58713	53836	57530	38564	40437	59590	59464	61546	61150	58642	61025	57052	57521	57604	59082	41803	42562	55048	58877	59282	61311	39802	44592	89540	88445	35850	37957	52845	56449	36613	41204	35629	36442	41967	41586	68112	66675	39628	38185	37673	38027	36104	37786	86753	91115	38728	36578	65400	69478	38278	39739	41817	42528	37596	38918	34782	39174	39292	34888	37808	36137	36711	35236	56710	55152	54669	56029	35930	38745	40213	37664	34739	36722	35518
377	266.0885		60130	61811	104384	106342	108978	107562	100490	102431	66368	67931	66982	64074	62444	66441	102131	107825	106458	110188	98313	104220	105012	100932	94697	99004	106904	113841	57928	55469	95510	94295	59674	68170	103180	100637	99364	98006	104929	99027	105892	103946	89703	94273	105161	104019	104067	101598	97380	98975	106314	105208	97420	100846	59893	61752	100324	106701	98728	100455	97704	104044	96721	101204	107499	107063	109700	105914	100511	104480	102383	105394	97600	95978	103955	105592	96649	102428	101189	104749	102904	95624	96238	100664	97547	104590	96057	101069	94200	97034	102895	98390	110680	108273	66165	64601	58013	53727	97100	94924	99837	100689	55111	48246	88847	89705	99489	100429	63849	64954	103041	102037	101650	99290	93418	97918	62897	65891	93684	93284	108308	98078	97458	99660	100552	99926	55138	51791	55144	52694	98938	100067	93693	92795	88917	84821	105021	103335	91880	90044	62007	63294	106951	110552	93370	102225	52799	57501	96761	97032	91668	94393	95129	102917	98408	103937	92218	91202	99786	101837	96305	98847	61411	62540	94823	98755	49459	54406	94986	96861	55836	60661	104216	114724	95827	96546	52729	52002	97708	98858	96638	102459	101683	105285	100296	103241	99832	97277	60688	60806	90951	88874	97218	100884	62159	62099	95156	96924	70794	66390	53439	50430	56879	60356	63717	64329	56127	57933	101174	96294	50923	52995	67861	70569	57774	54281	95446	96170	53390	53391	95684	100743	54728	53502	55537	49258	56906	59634	72189	66473	65778	65168	51642	56417	53857	57162	53424	52558	55388	54546	73984	77614	52161	56289	62040	60608	60868
378	266.1141		47360	46275	54201	54186	51037	51015	54116	50451	50989	53290	51674	53523	49884	50042	57112	55223	49113	54083	51336	51230	53682	55768	54416	54896	53361	54144	46745	44843	56315	55957	42734	42609	48876	53551	51253	51707	52123	49239	55839	50914	50478	55729	51646	55158	50973	52459	50676	48650	52689	52420	52656	57257	40790	39860	50373	53834	51682	52912	48554	49068	51388	51320	55025	51681	54251	50719	52468	49836	51057	58430	57103	52479	50831	54533	52342	51442	53346	53030	53977	52382	53795	53330	46632	52271	51110	50907	50216	56328	51683	50894	53173	50785	48110	51091	44663	47729	49324	47623	49683	52131	44381	46328	49347	47826	49359	49815	50565	47368	50345	52111	52030	52537	52484	53794	43699	42827	50621	50848	50219	52160	49827	44691	54919	51705	48330	47332	50424	49601	49404	47399	46681	52025	51786	48787	49230	52024	52686	47855	44907	46507	51033	53579	50651	52414	45545	47584	51418	48888	50437	49795	53503	48330	49655	46614	49112	51758	51366	52121	49663	50563	39983	37903	53711	51285	48438	47736	50219	51578	40690	39191	44286	46786	54778	54608	49105	50550	51925	52730	51534	48001	52922	55292	51289	51139	52006	55137	45232	46400	49159	50462	51181	49745	47060	45795	72047	73208	49398	48639	49353	48014	49841	53046	47327	48122	50515	51789	48587	51936	46323	50387	48892	48457	50102	53194	67868	69369	52034	47147	54671	54726	47516	47367	50887	50691	47616	45297	49086	49537	48041	48295	49111	48829	48005	50892	49918	49441	48391	51739	49736	53990	47475	48348	48063	52433	52998
379	267.0733		104737	105812	427572	440527	427588	423757	403359	414147	88826	97854	99415	95822	99121	100041	427395	431578	428840	441361	404305	400714	427428	418908	402341	419671	426199	425706	99970	104147	427725	424458	87471	89560	395658	407755	406549	401007	414117	407014	423765	415665	427235	433243	425071	443460	415792	423007	416594	424816	397988	403029	434649	432416	95122	89828	418062	432455	445302	431110	391852	390655	412730	413626	409237	413999	407704	420176	417159	421082	424423	416992	391283	396914	424246	429939	395751	403676	390959	396851	426250	417840	416907	420581	402676	414985	398237	409696	381815	399860	401921	410411	395517	420815	90245	95694	93446	98450	380080	400611	379509	391956	86882	88048	374523	381123	404404	413121	95770	96882	414468	424695	406236	396637	418846	414804	88801	83069	386291	398027	414139	422714	387455	394104	421317	419603	99580	101389	109101	110732	374038	390424	382110	386843	389097	400846	395312	404159	401884	410793	83930	90795	408469	408053	398809	401616	100812	98126	387008	371779	377456	385476	405591	407463	383447	416891	377945	384313	423746	432121	407926	416472	88082	93111	405496	428238	92794	94293	399847	415544	76885	76250	346567	353257	397253	407231	104363	102938	401534	421269	410823	402129	405521	423705	430187	420929	403981	411632	116661	115733	394384	387750	399724	403517	127018	133192	578756	594055	95502	92892	108983	117324	106866	110373	104793	112442	66674	66360	408528	415668	92997	94627	143997	154463	73198	74542	572900	590601	107731	107474	428836	431800	70615	80609	88962	91288	111594	116728	98702	99762	82793	87721	70279	67265	96636	106700	114784	125162	129143	137840	105847	111565	89353	85654	120204	127075	92103
380	267.1242		21792	23286	32277	31221	29383	30622	28364	28459	27772	29208	25610	24419	20172	31662	31720	27390	29657	28709	30661	30092	30359	31934	28451	31031	29096	28591	26589	24909	32422	30211	19845	32123	29315	31301	27335	25230	31907	32396	28293	28786	28585	28580	31194	27016	30712	31354	29047	30029	26139	27668	30290	34463	20090	24335	30747	32497	32418	33361	27898	28758	29741	31300	28041	27323	28559	26776	31786	29047	36477	34791	28918	25908	27829	28950	27461	26299	27245	24901	27352	31134	31063	31581	26857	29794	29009	27583	28476	31699	30281	29173	28968	29796	28231	26008	30477	30990	26000	28220	29245	29927	23225	30150	26617	30610	31940	33054	21669	24146	32390	31734	26307	27112	27360	28408	20901	32894	28493	24922	27559	29591	27859	28016	29483	30090	23756	21066	25549	24271	29679	28404	30016	28992	29209	29898	28443	26900	28273	26914	19386	18965	31522	27264	27409	26696	24399	32481	26260	27895	28135	26070	28675	29284	27532	27899	25979	25719	26291	28930	25414	27944	19135	17637	30944	27937	23763	32056	29373	28624	23074	23029	27779	26000	34132	30452	22193	30800	30080	32760	28361	27731	27468	29707	32963	32746	31419	32408	28720	32146	29380	27311	25257	26438	25200	22444	35335	36120	23414	22672	20595	30819	21783	22441	24296	22443	22865	20054	30398	28152	30773	20015	29572	19236	21506	26227	37401	35740	22338	22944	33852	30343	19810	24450	24087	21950	20111	21229	32208	23255	19176	28826	24138	25167	31532	22796	32319	22717	32442	20363	23180	21389	24406	25040	23277	22668	31289
381	267.1462		252333	242325	253190	260033	306076	295862	255551	271709	223831	228712	238284	238025	242511	241592	283595	273075	259461	265578	253021	253028	270331	275974	255828	249199	290943	293341	235194	232143	254510	254273	103483	105637	263002	265588	258780	252471	276279	266765	279472	276498	265894	261317	272198	279210	273868	277128	254482	267022	269140	272058	268904	282957	106790	100446	245424	256098	261628	265776	240830	236336	259354	267033	271445	271982	272100	280068	274091	268925	278972	278034	259583	258575	267012	263673	283440	275696	256538	253801	250997	246047	262806	258988	292904	290633	269747	275581	259070	260196	263719	255717	281550	273487	225720	216147	219705	212175	259926	255066	255111	265683	234145	233661	248754	239288	308593	312125	238724	235612	285749	272102	256001	250027	285318	286000	112011	116106	254461	248247	282873	284641	244693	241617	277604	275561	231692	230753	232756	219759	267018	268194	268089	267581	253507	256931	275837	275418	256756	256875	218244	229457	318388	331079	260352	268354	258341	263608	260922	260477	247273	240934	254390	256111	276720	278037	242920	240018	277232	281905	272864	273164	97149	97610	250860	276959	211233	213494	265476	271500	96728	100965	199244	203260	247753	247009	223894	228163	258103	254788	276827	273951	285048	281436	247188	251524	253105	259993	266566	266078	255659	245286	262202	253312	163133	156955	615276	611213	232613	227898	258800	258298	234680	239169	229941	227322	285160	285563	305842	300803	209949	212873	214064	208638	264583	270838	631059	640169	239994	243477	312743	308184	266796	264152	264609	255570	160419	166064	259854	254895	240626	230430	263427	256710	230877	233058	279593	270096	303748	305733	293286	300414	272827	271183	161801	159878	209560
382	267.2325		35829	30674	44781	44555	45055	44472	39210	39061	40735	39797	40220	39059	31141	29734	35347	34217	32984	33057	38397	34958	35179	37676	29870	29180	36766	33239	30372	29924	32656	29360	23518	22135	29295	26073	26772	24957	30957	29043	31817	31281	22711	22358	27915	26939	34697	29018	26275	27721	29088	28567	31219	28367	21455	23657	27025	23405	26609	26915	25727	23460	27570	24599	25101	22772	28207	27347	25312	26939	26325	24754	23502	23981	25769	21775	26583	27139	25121	22361	22344	19147	21706	23892	34691	32009	28673	27330	31626	29612	26459	21714	26710	26878	24324	22593	25227	22738	24701	23161	30168	27081	21235	17543	25465	23064	37819	30733	18715	18121	24826	22863	20169	17583	24009	22492	16982	17174	17380	13812	24302	23574	17780	17073	23720	22723	21245	20947	21138	18918	19796	23053	27591	26141	23619	23670	27407	22819	22847	19791	20183	18314	30166	29433	21674	22499	24929	21579	21190	18597	22350	19432	23964	22725	25983	21744	20137	17485	22602	22545	21617	20861	15631	13745	21162	19038	19013	15982	25932	24123	16864	13949	19889	17618	19791	17244	17722	16964	22472	20478	19719	19236	25148	24099	20473	20201	23683	21929	22132	19521	25438	23611	23048	20915	18650	17367	54802	48851	18059	17388	16361	15480	16646	15721	15225	14571	19922	18529	34915	31537	15706	14438	14898	13963	17869	18472	56914	47560	19954	15403	40861	34929	19744	18162	16758	15807	13123	13620	18497	16545	15230	13111	15650	15543	17265	13229	13996	12491	16488	14515	20505	17398	23411	22168	17453	16155	13081
383	268.0223		41657	47570	44470	39141	51904	58743	43546	42761	40482	39308	38931	38540	43351	45195	36487	37160	40413	45840	40526	44023	41242	39026	45488	44594	40851	42609	43928	42720	40229	41601	47424	49690	43085	44175	40482	40488	51235	50303	40502	43091	43836	47926	43858	41916	39705	40180	40133	40598	44472	47245	35778	40910	41545	43085	39934	40355	39147	36494	39742	41223	40033	37805	42016	42038	40915	43816	39956	42104	38507	43414	44308	44268	41315	41295	42909	41355	41437	43222	37518	39168	36065	37231	41727	38158	40450	38757	38532	36750	34549	37895	40952	42104	39063	38643	40088	39873	39007	39707	34955	40562	40847	40321	38110	38471	42460	44950	38570	39824	35840	36622	43618	40551	38509	40751	42079	41796	40105	38907	36397	39023	37439	39035	36127	39212	36843	34423	33580	37700	37933	40929	40452	37779	37024	41259	40021	40083	41386	41791	39068	36746	41438	42028	36280	39479	38099	39138	38500	41950	39108	40732	33604	34986	46060	50044	41085	43595	35738	38871	37014	36467	40477	40573	33621	38241	38633	42351	41668	39654	42454	43619	32444	34060	37957	42846	38123	37851	43324	38886	40580	40129	37636	43181	40044	39073	39278	38867	40220	42941	34019	35819	38622	39972	37520	39042	51988	55640	40639	38078	38435	41603	35760	39850	37767	38504	41715	37231	48605	48936	40454	40757	36612	38987	39156	38763	58975	55288	37100	35514	41709	48197	38537	36053	35265	41205	35521	39152	39135	40140	40504	41126	37882	37162	35815	37426	39824	36392	36303	38692	35600	41683	36617	38489	36876	40070	38335
