ionIdx	ionMz		246 / F5_261_PE_T16_4_F5_261_PE	247 / F5_261_PE_T16_3_F5_261_PE	248 / F5_261_PE_T16_3_F5_261_PE	249 / F5_352_PE_T16_1_F5_352_PE	250 / F5_352_PE_T16_1_F5_352_PE	251 / F5_260_PE_T16_4_F5_260_PE	252 / F5_260_PE_T16_4_F5_260_PE	253 / F5_259_PE_T16_2_F5_259_PE	254 / F5_259_PE_T16_2_F5_259_PE	255 / F5_263_PE_T16_4_F5_263_PE	256 / F5_263_PE_T16_4_F5_263_PE	257 / Neg_PE_T16_1_no_PE	258 / Neg_PE_T16_1_no_PE	259 / F5_353_PE_T16_4_F5_353_PE	260 / F5_353_PE_T16_4_F5_353_PE	261 / cfMRS_4_no_no	262 / cfMRS_4_no_no	263 / F5_350_PE_T16_2_F5_350_PE	264 / F5_350_PE_T16_2_F5_350_PE	265 / F5_261_PE_T16_1_F5_261_PE	266 / F5_261_PE_T16_1_F5_261_PE	267 / F5_350_PE_T16_1_F5_350_PE	268 / F5_350_PE_T16_1_F5_350_PE	269 / F5_260_PE_T16_3_F5_260_PE	270 / F5_260_PE_T16_3_F5_260_PE	271 / F5_354_PE_T16_5_F5_354_PE	272 / F5_354_PE_T16_5_F5_354_PE	273 / Neg_PE_T16_3_no_PE	274 / Neg_PE_T16_3_no_PE	275 / Neg_PE_T16_2_no_PE	276 / Neg_PE_T16_2_no_PE	277 / F5_354_PE_T16_4_F5_354_PE	278 / F5_354_PE_T16_4_F5_354_PE	279 / F5_260_PE_T16_1_F5_260_PE	280 / F5_260_PE_T16_1_F5_260_PE	281 / F5_353_PE_T16_1_F5_353_PE	282 / F5_353_PE_T16_1_F5_353_PE	283 / F5_261_PE_T16_2_F5_261_PE	284 / F5_261_PE_T16_2_F5_261_PE	285 / F5_263_PE_T16_1_F5_263_PE	286 / F5_263_PE_T16_1_F5_263_PE	287 / F5_259_PE_T16_5_F5_259_PE	288 / F5_259_PE_T16_5_F5_259_PE	289 / F5_259_PE_T16_4_F5_259_PE	290 / F5_259_PE_T16_4_F5_259_PE	291 / F5_261_PE_T16_5_F5_261_PE	292 / F5_261_PE_T16_5_F5_261_PE	293 / F5_262_PE_T16_5_F5_262_PE	294 / F5_262_PE_T16_5_F5_262_PE	295 / cfMRS_5_no_no	296 / cfMRS_5_no_no	297 / F5_352_PE_T16_4_F5_352_PE	298 / F5_352_PE_T16_4_F5_352_PE	299 / F5_353_PE_T16_5_F5_353_PE	300 / F5_353_PE_T16_5_F5_353_PE	301 / F5_352_PE_T16_3_F5_352_PE	302 / F5_352_PE_T16_3_F5_352_PE	303 / F5_260_PE_T16_5_F5_260_PE	304 / F5_260_PE_T16_5_F5_260_PE	305 / F5_354_PE_T16_2_F5_354_PE	306 / F5_354_PE_T16_2_F5_354_PE	307 / F5_351_PE_T16_1_F5_351_PE	308 / F5_351_PE_T16_1_F5_351_PE	309 / cfMRS_1_no_no	310 / cfMRS_1_no_no	311 / PE_C_256X_pollen_dilution_series_no	312 / PE_C_256X_pollen_dilution_series_no	313 / H2O_B_3_no_no	314 / H2O_B_3_no_no	315 / H2O_B_4_no_no	316 / H2O_B_4_no_no	317 / H2O_A_3_no_no	318 / H2O_A_3_no_no	319 / PE_C_4X_pollen_dilution_series_no	320 / PE_C_4X_pollen_dilution_series_no	321 / PE_B_1X_pollen_dilution_series_no	322 / PE_B_1X_pollen_dilution_series_no	323 / PE_A_32X_pollen_dilution_series_no	324 / PE_A_32X_pollen_dilution_series_no	325 / PE_C_2048X_pollen_dilution_series_no	326 / PE_C_2048X_pollen_dilution_series_no	327 / H2O_A_1_no_no	328 / H2O_A_1_no_no	329 / PE_A_2X_pollen_dilution_series_no	330 / PE_A_2X_pollen_dilution_series_no	331 / PE_A_512X_pollen_dilution_series_no	332 / PE_A_512X_pollen_dilution_series_no	333 / PE_B_4X_pollen_dilution_series_no	334 / PE_B_4X_pollen_dilution_series_no	335 / PE_B_32X_pollen_dilution_series_no	336 / PE_B_32X_pollen_dilution_series_no	337 / PE_C_64X_pollen_dilution_series_no	338 / PE_C_64X_pollen_dilution_series_no	339 / PE_B_256X_pollen_dilution_series_no	340 / PE_B_256X_pollen_dilution_series_no	341 / PE_B_64X_pollen_dilution_series_no	342 / PE_B_64X_pollen_dilution_series_no	343 / PE_C_1024X_pollen_dilution_series_no	344 / PE_C_1024X_pollen_dilution_series_no	345 / H2O_B_5_no_no	346 / H2O_B_5_no_no	347 / PE_C_1X_pollen_dilution_series_no	348 / PE_C_1X_pollen_dilution_series_no	349 / PE_A_4X_pollen_dilution_series_no	350 / PE_A_4X_pollen_dilution_series_no	351 / PE_A_256X_pollen_dilution_series_no	352 / PE_A_256X_pollen_dilution_series_no	353 / PE_B_8X_pollen_dilution_series_no	354 / PE_B_8X_pollen_dilution_series_no	355 / H2O_C_2_no_no	356 / H2O_C_2_no_no	357 / H2O_A_2_no_no	358 / H2O_A_2_no_no	359 / PE_C_512X_pollen_dilution_series_no	360 / PE_C_512X_pollen_dilution_series_no	361 / PE_A_1024X_pollen_dilution_series_no	362 / PE_A_1024X_pollen_dilution_series_no	363 / PE_A_8X_pollen_dilution_series_no	364 / PE_A_8X_pollen_dilution_series_no	365 / H2O_A_5_no_no	366 / H2O_A_5_no_no	367 / PE_A_2048X_pollen_dilution_series_no	368 / PE_A_2048X_pollen_dilution_series_no	369 / H2O_B_6_no_no	370 / H2O_B_6_no_no	371 / H2O_C_6_no_no	372 / H2O_C_6_no_no	373 / PE_B_16X_pollen_dilution_series_no	374 / PE_B_16X_pollen_dilution_series_no	375 / PE_C_2X_pollen_dilution_series_no	376 / PE_C_2X_pollen_dilution_series_no	377 / PE_B_2X_pollen_dilution_series_no	378 / PE_B_2X_pollen_dilution_series_no	379 / PE_C_128X_pollen_dilution_series_no	380 / PE_C_128X_pollen_dilution_series_no	381 / H2O_A_4_no_no	382 / H2O_A_4_no_no	383 / PE_B_128X_pollen_dilution_series_no	384 / PE_B_128X_pollen_dilution_series_no	385 / H2O_B_2_no_no	386 / H2O_B_2_no_no	387 / PE_A_128X_pollen_dilution_series_no	388 / PE_A_128X_pollen_dilution_series_no	389 / H2O_C_1_no_no	390 / H2O_C_1_no_no	391 / PE_A_1X_pollen_dilution_series_no	392 / PE_A_1X_pollen_dilution_series_no	393 / H2O_A_6_no_no	394 / H2O_A_6_no_no	395 / H2O_B_1_no_no	396 / H2O_B_1_no_no	397 / H2O_C_4_no_no	398 / H2O_C_4_no_no	399 / PE_B_2048X_pollen_dilution_series_no	400 / PE_B_2048X_pollen_dilution_series_no	401 / PE_C_32X_pollen_dilution_series_no	402 / PE_C_32X_pollen_dilution_series_no	403 / H2O_C_3_no_no	404 / H2O_C_3_no_no	405 / PE_B_512X_pollen_dilution_series_no	406 / PE_B_512X_pollen_dilution_series_no	407 / PE_A_64X_pollen_dilution_series_no	408 / PE_A_64X_pollen_dilution_series_no	409 / PE_C_16X_pollen_dilution_series_no	410 / PE_C_16X_pollen_dilution_series_no	411 / PE_C_8X_pollen_dilution_series_no	412 / PE_C_8X_pollen_dilution_series_no	413 / H2O_C_5_no_no	414 / H2O_C_5_no_no	415 / PE_A_16X_pollen_dilution_series_no	416 / PE_A_16X_pollen_dilution_series_no	417 / PE_B_1024X_pollen_dilution_series_no	418 / PE_B_1024X_pollen_dilution_series_no
255	199.0722		68528	70505	64011	64493	71897	65001	67441	71831	64450	155870	168065	165508	175919	67700	66529	242649	247603	68826	74128	68385	63860	70290	73076	71929	69599	70694	72257	174430	164866	162468	165182	54748	50083	69689	69738	63339	68178	66119	66063	159682	163135	71551	68832	67728	65845	67566	68577	64690	72376	252044	244032	67909	70052	68324	65606	64979	68235	68840	67800	69003	71142	61736	66378	248862	253353	37522	38954	27387	24730	22279	23156	22719	21688	22566	23312	28016	28706	21479	21933	20627	20419	18387	18806	26470	26502	23550	22335	22618	22317	24457	22351	25713	24778	22073	22085	23208	22469	21306	24250	22738	23459	28202	30515	24964	22460	24839	26175	23085	21611	22171	20648	20098	20896	26100	28143	23015	21936	21420	21380	21852	23223	20065	19472	21165	19793	25280	26326	21684	22526	25659	26607	24600	26197	26590	27387	21000	22310	25744	25389	23517	22177	25080	23327	17807	19157	28155	27707	25417	28105	21169	23374	21215	22227	21128	22953	27660	27761	21341	23444	24627	24377	23143	22366	21094	23217	21885	21400	20777	21573	19350	23354	19270	19289
256	199.17		31351	38657	35473	34953	32425	33087	32659	37854	34290	32079	32523	73385	78950	36643	38090	62898	60228	30585	37972	36418	36337	37702	36195	35263	38456	36148	35855	71625	70680	79680	74470	36479	36133	37186	38446	33143	34533	37762	33790	37955	34598	37836	34419	35460	34338	35539	33998	33513	35143	58237	62254	34796	33801	37066	39057	35743	33150	35907	37923	35106	36937	37221	35557	68088	67904	47309	50395	54703	55221	50096	51195	50269	47448	35831	37248	34943	32757	45038	45980	49227	48173	50374	45670	37331	37426	46533	49284	37989	38162	49649	50128	46738	55364	48150	47969	53416	50128	53876	52073	61646	59699	36340	38320	38312	38709	52093	53232	45796	45324	52294	57542	54379	54405	54608	50445	49817	52318	50961	48442	54902	52826	48205	55818	56593	54399	54932	60025	44383	45495	38602	40649	42238	38731	55013	59159	55830	59209	54309	55796	57571	60105	53480	53680	54697	57009	35212	31330	55520	56050	52799	51449	54391	50722	60311	57092	53123	53272	54596	52567	57687	53675	48173	48591	44856	46601	41589	40418	53369	51342	44769	41136	59480	60758
257	199.9689		15331	14746	13157	15000	14910	13230	13536	15632	15591	14706	15975	14357	15052	15603	13979	22744	23391	12559	9487	15898	14516	13138	12387	15377	17481	14706	13912	14832	14236	15540	15921	6776	5942	12976	15143	14471	12331	14506	16412	17227	15068	14806	15373	13596	13615	15944	16019	16394	16422	24967	26938	15150	15052	13161	13632	15621	14298	13401	15019	11271	14193	13765	13461	24549	25959	3702	4144	3477	3826	3325	2968	3230	3155	2721	3479	3348	3671	3009	2901	2775	3532	3020	3273	2998	2642	3065	2815	3052	3435	3268	2607	2874	3402	3161	2922	2626	3201	3190	3439	3777	3488	3430	3467	3744	3729	3435	3599	2610	3208	3509	3790	4176	3899	3428	3409	3595	3329	3262	3056	3512	2972	3512	3130	2860	3486	2811	3661	3061	2940	2544	2965	3137	2962	3384	3206	3311	3386	2748	3103	3308	3521	4140	3176	3314	3634	4002	3482	3638	3073	3019	3981	3687	3466	3242	4087	3478	3526	3538	3396	3639	3093	3772	3700	3510	3278	2924	3295	3409	3062	2743	2733	3535	3243
258	200.0727		28734	27208	27333	27771	29399	29749	30462	30489	30718	36152	35636	26417	25232	28633	28205	35217	39324	31770	33951	31931	29769	32280	32817	33922	32728	30534	32689	30027	24154	23889	24999	23879	21838	29641	31430	27212	27221	31103	28944	35858	34697	30410	31081	29543	29896	28441	28387	29370	28919	32521	32726	27536	30009	27846	26913	25640	30663	29072	32273	28124	27787	24223	23313	32003	32159	6692	5348	4089	3917	4198	4250	3990	3708	6451	8662	12281	11542	5625	5300	4336	3939	4098	3897	9281	10118	3746	4067	6985	6735	4883	3898	4134	3858	3435	4090	4029	4522	3337	3497	3653	2993	12614	12203	8096	9047	4247	3899	6822	4940	3813	3198	3177	3199	3415	2799	4150	3514	7740	6195	4251	3378	3203	3443	2916	3028	2953	3060	5033	4853	9200	11311	9808	10866	6026	4511	3626	3203	3376	3139	3290	3670	4206	3725	3133	3853	12719	13615	5968	5821	4076	3530	2829	3039	3552	3263	4747	4382	3244	2486	3102	3156	3886	3909	4949	5894	5536	5937	2845	2636	4049	4806	2837	3292
259	201.0873		104802	100419	103777	87216	92221	96620	95560	102631	106598	110106	116961	54113	51378	70151	73036	60946	63272	109357	117343	105646	107335	118266	119076	113559	117461	99050	102819	49289	55579	52754	51165	61723	64800	105131	113012	73575	71073	97426	102641	116663	120304	109942	111963	104619	106624	109595	110318	94894	96587	64211	63793	90396	88616	72778	76162	86653	86170	109691	108055	92018	94140	62150	61460	68210	67034	13986	10190	6041	6913	4364	5198	5468	5711	13376	15683	24635	23987	9188	8369	6387	7583	4255	4699	19683	20645	9224	5172	16399	14026	7763	8455	6993	7572	5152	4302	6252	6063	6276	5627	4772	5724	24442	25502	17705	16666	8178	7477	12330	12675	5244	5386	4149	5487	6077	5827	5931	5787	11751	12411	4324	5437	5360	5025	4338	5323	5960	5853	9672	9933	20931	19705	18922	20552	9649	9209	4633	5803	6511	5779	4300	5025	6319	7421	4413	4228	25827	28027	9968	7145	4685	3757	5812	4135	4898	5357	11508	9211	5326	5164	5438	5721	7108	6769	11476	11233	11053	11245	4410	3957	10269	9355	6626	7361
260	201.1122		98774	99645	104116	94291	94819	91201	96850	101732	107855	102575	110766	52346	50549	90627	94527	58548	59712	104991	113409	104035	106416	112631	116889	108484	109368	113420	110339	51396	48320	68122	72284	103228	104926	109455	105190	88563	86822	101458	106467	116885	114767	106894	109791	97193	99819	106051	106841	110815	103090	70899	71671	91187	28273	100135	100087	100413	91709	101184	100700	104166	104243	87627	91748	76602	76752	33926	33793	28977	27980	28998	26152	26441	24670	46486	46099	68887	15710	32386	30612	28711	27269	24652	24676	54313	55852	24361	27287	45061	47368	30584	34537	29427	27033	27783	27704	27894	30131	26385	25854	35375	35557	72927	75132	47382	45661	29608	23695	37526	42863	29131	26389	26691	25798	24104	29163	19892	25435	42802	40346	26741	31337	26932	27929	28011	29686	33828	30315	32876	31422	56286	57134	60880	63677	31656	28093	26845	30925	29981	32541	24998	28301	25923	27418	25274	25411	75821	76810	36235	35828	27767	23389	31961	30645	24683	27725	29305	34377	23891	29453	25926	23977	23356	25703	35487	35300	41776	39657	26686	29750	28565	28618	24533	25627
261	203.0562		73986	70656	76158	73814	76687	64300	72088	73512	75748	69679	73598	52702	52955	68091	71971	76532	78189	70829	71724	73340	73445	73116	75301	75906	72984	75849	77695	56083	55326	48150	53081	59546	60754	69518	70147	75087	70121	71595	72389	74907	76783	68040	71912	67234	66934	69604	76169	65713	69825	71443	76795	75560	72819	69207	72124	71878	72615	72892	76001	69783	70712	64546	63368	86427	84771	15391	13527	5419	6913	6094	6738	6832	6524	34130	39087	40189	39405	24899	21825	5880	9406	6589	5261	42596	37401	10640	12056	35851	37235	21304	21675	17238	17675	9048	8094	17423	16620	5743	5605	8667	8166	41786	38369	40860	41297	12982	11856	35523	36308	6356	5881	5882	6521	9353	8166	7006	6318	37562	35782	6032	6172	5995	6662	5505	5822	6066	6945	28673	26650	39263	40698	41387	42839	16230	14715	6510	7772	12885	11095	6156	6957	11393	11671	5316	6394	43921	44670	12934	13082	6329	6341	5116	6792	7291	6945	22295	22787	5732	5324	7839	8826	14318	16680	26181	29345	34741	33830	5852	5956	28748	31788	7570	7530
262	203.0824		845974	810597	805301	845688	843177	773606	803977	799273	810796	842492	856349	1154045	1175876	853203	870597	1363030	1383560	815282	823242	862404	850958	857430	873695	850300	865356	849998	860213	1152110	1137289	1109430	1096081	708136	709291	796549	814075	847686	848975	844099	833680	848959	870485	830577	845490	832273	840168	839296	819043	829818	821966	1310515	1325729	864389	873691	847707	837153	816307	853011	845421	846429	821226	832462	871839	850265	1375769	1389987	226083	185952	72881	57967	66338	40605	56691	49317	363805	367489	478694	491036	181951	174069	44674	40539	34017	32589	436903	419515	59706	53220	358628	349623	146248	147753	85858	89092	45342	42584	85504	85045	27803	28436	36265	33438	491970	499589	389062	389988	65249	57511	298777	295606	28930	29676	24466	24221	30459	37806	28433	30224	314088	289697	26238	23342	22111	21434	18818	21378	22482	23247	214261	215883	446514	440380	441482	454362	84409	73029	24886	25786	55627	53108	24407	23917	54070	54773	21581	21177	504416	524404	68380	52760	26487	23931	26720	23642	22738	23047	133772	142441	21405	21232	28675	30290	88303	83317	211626	216269	285214	293741	26843	22488	208392	204837	28736	23724
263	204.0533		16090	15617	14626	18167	18051	17430	16720	13892	18476	14161	15969	14527	11857	17818	14958	15262	16108	16834	16709	15816	15654	17385	17781	15346	16383	16519	17948	14763	13057	12339	13003	14067	13506	15562	15129	13874	15036	16425	15650	17210	15949	17005	15571	16019	16836	16619	15831	17330	16088	15327	15282	16633	17258	17205	14934	15127	15435	13909	16498	15603	18872	16054	15058	17614	16843	3742	2550	1875	1022	1487	982	1018	1726	16074	15759	21304	23691	7687	7002	1731	1945	1706	1232	19364	20573	3259	3426	15934	15355	6812	7089	5007	4015	1922	2136	3875	5443	1567	1670	2246	1129	22742	24619	17547	16781	3843	3415	12409	12053	1914	1859	1702	1923	1612	1791	1588	1829	13519	12846	2482	1601	1362	1559	2289	734	1554	1148	10269	9817	18978	20099	20383	22198	5662	4626	1687	1905	4046	3552	892	1667	3726	4142	1082	1957	24837	25431	3775	3166	1217	1516	1219	2312	1476	2075	5011	8085	1303	1661	2544	2448	5721	4916	8561	10399	11893	12121	1249	1664	7979	10786	1655	1933
264	204.0664		113906	114901	113359	254483	252392	340483	328354	275185	265628	329620	337341	53224	39177	273597	277275	40736	60758	304063	325576	124756	128868	358146	361493	376832	383517	272476	277647	52303	49267	33733	34791	229720	229139	340922	354887	301023	294003	125965	125867	342515	342648	272380	274102	268513	265209	129928	128924	369993	374946	40584	37833	249955	262758	283642	288422	248348	259079	350448	350216	263630	268567	200394	194615	47609	50116	16387	15102	9154	6603	7698	6274	6978	6727	15165	15649	24126	22410	10901	9780	5551	5677	4275	4837	18919	18230	6288	5440	16024	20248	8148	8967	7161	8051	5013	5556	6607	4574	4557	4193	4542	5460	23038	23676	16974	15296	5923	5768	11079	13026	5761	4800	3082	3742	5295	4077	3963	3681	12774	12575	3484	3031	4281	4094	3883	3968	3795	4489	7529	8808	21007	19463	21346	19493	6976	5258	3714	4955	5221	6054	4983	5115	5424	4975	3107	3491	21388	23722	6285	5957	4981	4303	3906	3565	5309	3647	6100	8179	3925	4670	4049	6360	4767	6184	6692	8895	11404	10378	3400	2929	10069	10167	3552	3074
265	204.1236		5182	4551	4487	6322	5213	6016	4966	14624	5326	5813	6338	8118	52040	5518	6479	58745	8932	5003	6276	6242	5571	6229	5815	6694	5772	6732	6297	8943	7186	45437	43779	5017	5074	5873	5483	5885	5269	5593	5383	6252	6082	6515	5882	5938	5565	5283	6013	6264	6085	62144	63458	6220	6180	5205	5491	5928	5649	6009	6396	6155	6501	5226	6026	64956	66686	1504	1471	10366	8186	10913	11056	9959	10413	2163	2859	4188	3134	1674	1365	9419	8797	8341	10541	3244	3052	10983	7958	2414	2298	12037	13880	12971	10956	10847	11041	933	11385	10212	9437	10624	9293	3663	4022	2608	3478	10202	12105	2067	2141	11523	11252	9716	12440	13171	9626	11157	10105	7987	6631	10223	10715	10688	10393	10622	9372	10815	10489	1956	5498	2634	2967	2926	3455	12979	11545	9495	11192	12354	14157	9948	9723	11486	10942	10821	11182	17513	30246	11415	978	10425	9581	9465	10056	10120	9462	12680	15708	10078	8731	10965	12045	11011	12548	5074	5804	1725	2223	9734	9696	5427	1542	9005	9198
266	205.0351		78872	85079	83705	75833	75564	81169	75964	77544	79656	78333	74690	74645	73795	81116	77189	74480	77298	82463	84639	83311	81501	102128	91845	80444	86091	93367	87069	76076	76506	77316	77778	78598	77344	85077	86938	81976	82507	81018	81493	87061	80233	72576	74371	75923	74596	84386	87355	74295	78375	76218	70474	73809	71422	72519	78044	71905	74289	83812	81490	84064	91165	83997	81084	81545	81573	17075	16434	5932	5979	5259	5475	6265	6440	92278	101434	227820	235160	27561	27145	8399	9397	5794	5905	171103	171376	14644	13279	100286	98082	23814	27558	20235	20707	12491	11174	21822	20217	7015	7400	8066	8250	242278	240852	107489	117276	15812	14316	53869	59390	7581	7364	6858	6028	8663	9602	7395	8116	56456	52113	7406	7121	5498	7132	4744	6502	6452	7032	34773	32271	177726	172322	166069	176067	19600	18148	7018	7005	18062	16705	5486	6213	15400	16523	5144	5767	251295	250545	16465	17946	6809	7389	5989	6214	8533	8127	28614	25623	4039	4902	9075	9017	20620	19927	29401	31512	46612	49280	7008	6093	32960	32907	9070	9287
267	206.0495		33357	29748	29277	30974	35366	30275	27778	31768	32174	32003	30984	39727	37812	30600	32451	37163	37384	33366	33221	34609	33787	32832	35811	33546	32643	37384	33631	39413	36607	40395	38367	34975	31696	32133	32835	30296	33940	29580	32030	33145	32031	31679	32189	32050	31559	30091	31956	31952	32737	37654	34362	38316	32984	31927	34164	32900	30022	31406	29715	31596	35625	38187	35860	36523	36986	14432	11324	7770	6834	8171	7108	7740	6664	33096	37234	45100	48000	19896	18246	8744	8194	7167	8316	43323	40136	13870	10375	33075	35933	17113	16619	14051	14065	9112	12067	13084	13737	7636	7214	6337	8017	45718	52411	39078	36205	13414	12564	27294	31969	7549	7666	6508	7448	8972	8816	9436	8624	28932	27880	8551	7384	8045	6846	7518	6787	6640	7216	19519	20924	41368	41449	45108	41641	17478	13348	8354	7965	13238	13838	8270	7359	13331	11802	5390	7666	48630	50806	12810	12745	7895	7871	8311	8380	8311	6987	15979	18406	7020	8091	8339	7342	14140	15072	21335	21455	28627	25702	7218	5740	19234	20845	8528	7517
268	206.0823		64778	62495	65894	63492	65083	52230	48796	57147	58679	52686	55140	68271	66613	54408	53415	75492	76637	54052	52977	71532	68254	57009	55647	57254	59984	66813	65836	68275	70123	63024	63929	64550	61714	51119	51618	51790	52831	71877	65461	57700	57044	60976	59605	59353	58487	68469	69096	65292	59627	66510	66344	64862	62054	55497	55841	61303	63236	57312	53991	67351	71031	58842	59630	77342	77810	10624	10745	4646	4137	4197	4534	5275	4002	24668	24684	48686	49187	10625	10790	4087	3228	3282	3323	37413	39451	6277	6747	26571	25148	10847	11496	7300	7056	4574	6178	7106	6471	3651	3978	4904	4028	49877	50752	24956	26833	6345	6943	18944	17997	3814	3465	3724	4435	3189	3823	4533	4059	19642	20027	4681	3810	3925	4479	3211	2828	3101	4434	11663	12599	40412	38354	39439	38407	7989	5736	4263	4498	5678	5536	4003	3587	4612	4822	3752	3409	53002	52017	6837	6306	4256	3817	4469	3765	3221	3315	8269	9284	2671	3012	4403	4965	5976	6264	13349	13671	20602	18189	3672	3791	12572	11979	3733	2889
269	206.1294		3622	3976	3558	3907	4983	3941	4674	4996	4639	4178	5328	7084	5850	5900	5468	7852	9025	3976	4648	4783	5211	2751	5004	5185	4572	5111	4558	5540	5321	5616	6480	4414	4068	5257	4210	5101	6037	4603	4547	4456	5241	4394	4477	3779	3967	4586	4672	5250	5188	7775	8733	4933	3966	4273	4572	4670	3856	3886	4780	3314	4036	4612	4842	9372	9677	2033	1454	1001	1116	772	520	966	1182	1989	1643	2675	2066	1142	1625	903	918	884	877	2149	2030	1030	931	1411	1762	1436	2062	1124	767	786	1139	1165	804	554	980	1291	1286	2505	2805	1493	1564	974	1367	1754	1716	599	1003	1041	805	671	1019	892	866	1906	1486	935	1050	834	892	1571	1044	615	881	912	1225	1734	1938	2274	2345	860	1210	1181	466	839	965	644	784	686	648	725	824	2909	3135	1131	927	1121	586	892	993	662	817	1038	921	560	826	1062	697	912	1084	1291	1064	1130	1575	1063	1076	1141	1424	882	1255
270	207.1386		20189	23415	19788	23529	21990	21120	19334	20505	20317	20115	23316	25081	22606	25311	23415	28071	24379	22912	21551	22911	21382	25152	19994	25081	23248	20589	22629	26423	22286	24122	24132	23716	19141	24248	19681	21910	22220	20148	19869	21584	21493	20333	20269	19380	20447	19936	20453	21902	20611	27114	29763	20653	22193	22331	23152	23188	21576	22567	20283	23228	24152	24124	20502	29346	28014	38549	34274	45149	38879	41658	46008	36773	36383	17906	18921	15921	14364	24829	23736	35520	34799	33088	38223	17212	16518	31276	27971	19703	17797	28835	26973	31704	30204	31199	28106	26726	29081	39878	36207	38732	39776	17578	15357	18027	19332	31430	30217	22626	24936	40358	42680	38190	36841	37414	34863	31575	30227	24645	21403	38556	35860	35821	36133	43401	45418	42596	46141	27587	22911	18535	19918	18137	18506	35202	35412	36684	38393	34081	38544	42058	44193	30984	33820	38652	40394	17692	15273	39211	38094	37098	37720	39136	41437	39348	35280	31658	30397	43111	41808	39899	30958	29611	27806	23947	24256	22564	20556	40534	36169	24672	23827	31633	29875
271	207.1502		3826	4121	4708	3922	4390	3501	3356	3951	4698	4083	3795	5668	6741	4769	4565	6444	6180	4385	3885	3857	4738	4649	3668	4033	4673	4320	4483	6048	6552	5953	5272	5106	4422	4012	3631	3983	4394	5122	5277	3468	4150	3894	4464	5197	3689	3697	4364	4371	3577	5261	5094	4369	4396	3509	4750	3663	4542	3394	3460	3282	4090	4029	4463	5657	5231	3806	3801	3931	3643	3963	4399	3215	2906	2308	2347	4167	5908	3167	3053	3110	3010	2609	3327	2905	3476	2586	2653	2634	3199	2826	2419	2973	2836	2727	2681	3005	2522	3285	2988	3635	3690	5417	5120	3288	3174	3034	3495	2603	2291	3348	3985	3040	3718	3812	2982	2846	2360	2568	2821	3102	2898	2979	2423	2971	3170	3006	3498	2465	2483	3025	3806	3322	3307	3626	3424	3257	3421	2882	2761	3533	3341	2796	2569	3282	3561	4596	5059	3863	4002	3108	3540	3846	3338	3109	3748	3169	3014	3212	3276	3162	3010	2722	2326	3104	2594	2444	2839	3345	2751	2458	2639	2738	2661
272	208.1085		7312	11687	12799	7982	8051	14420	14120	11918	12871	8065	11612	18592	20695	14016	12712	13237	21086	13170	13813	13324	13507	13091	14000	7440	8556	13926	14837	10809	21397	17467	17697	13174	8791	13252	11826	14575	8554	11720	12954	14220	11418	12820	9256	11782	12307	13634	14550	13342	15929	18187	19420	13969	13393	7983	12844	12098	13771	13091	14003	12776	12793	15677	15316	19895	20365	6139	8445	6409	6089	6029	7753	5424	6360	7080	5351	7016	7805	3944	4766	5918	6885	5859	6415	6714	6994	7365	6778	6448	5818	2372	3072	9391	8872	5668	6694	8640	7625	6676	5729	7572	8468	5858	8210	6079	6978	8061	6831	5553	6674	6281	6281	6950	6348	6801	7139	6864	5955	6205	5700	5746	6542	8331	8551	7179	6212	6525	6519	5265	4077	7551	8016	6655	8027	8869	8485	6021	6284	6703	7560	6493	7913	8005	6756	6809	5190	7756	7345	8294	8313	7173	6034	6704	6307	7004	5912	2554	4037	5953	6769	7321	7217	7459	9619	4965	4565	5468	5659	5330	7144	4274	3815	5939	6739
273	209.0302		33180	31915	33785	32978	32090	32563	31997	31911	32733	34596	37278	28210	29014	32941	34877	7368	8536	32512	35167	35642	35883	33648	35416	35511	35741	34845	33217	27271	28495	26955	26473	45899	44355	35840	36854	32959	34331	35471	31734	38004	38324	34478	36766	35604	34715	32990	32663	32812	36749	8793	8939	34472	33839	33378	35640	33536	34699	30570	31852	34804	33524	35065	36841	7755	6898	9445	10146	6190	3154	5623	5354	3136	4074	119037	124332	294018	291979	42773	41935	8665	9492	3576	4079	198878	196096	16206	14337	123899	122264	35473	35989	25491	26244	11988	12180	23044	23243	5702	7747	7277	6140	306581	299049	138568	140421	20458	15530	80421	73531	7059	6147	5349	5549	7390	8170	6371	5099	80809	82409	6435	5161	3607	3872	5029	3182	3078	2653	46810	50597	202314	208115	206259	211327	28480	22727	5958	6672	16319	19308	7145	6571	16582	17746	3118	3665	303463	297819	19042	17981	7613	8434	6475	5203	6527	6442	37159	37362	5101	2995	8502	7934	27543	25056	50408	54282	72052	74983	6157	6328	46482	52100	6535	7091
